id,name,openness,conscientiousness,extraversion,agreeableness,neuroticism,education,initial_belief,final_belief,belief_changes,infection_time,recovery_time,total_infected_time,max_consecutive_infected,resistance_index,recovery_index,belief_0,belief_1,belief_2,belief_3,belief_4,belief_5,belief_6,belief_7,belief_8,belief_9,belief_10,belief_11,belief_12,belief_13,belief_14,belief_15
0,幸福平安LZK,5,7,3,5,3,2,0,1,3,2,6,6,4,0.125,0.25,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1
1,夏一夫2010,5,7,3,6,3,4,0,1,5,2,4,8,5,0.125,0.5,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1
2,不想存在的每一天,3,5,3,5,6,3,0,0,2,9,11,2,2,0.5625,0.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
3,朱小蛮-,7,5,5,5,2,1,0,0,2,4,10,6,6,0.25,0.16666666666666666,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
4,清肝解郁,6,7,3,5,3,5,0,0,0,-1,-1,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,八零后努力,5,6,5,7,4,3,0,1,1,13,-1,3,3,0.8125,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6,耳止丶,5,3,4,7,5,4,0,0,4,7,9,6,4,0.4375,0.5,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0
7,大红矛,5,5,5,5,5,2,0,1,7,2,3,10,5,0.125,1.0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1
8,WSD是我,7,5,7,5,2,5,0,1,3,5,6,9,8,0.3125,1.0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
9,W-EST02,5,6,3,5,3,4,0,0,2,2,15,13,13,0.125,0.07692307692307693,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
10,朱毅,7,6,5,5,3,5,0,0,2,9,10,1,1,0.5625,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,司马南,7,6,7,4,5,1,0,0,2,7,12,5,5,0.4375,0.2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
12,sashanana,7,5,6,6,1,3,0,1,1,12,-1,4,4,0.75,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
13,家宥乐,5,5,7,6,5,4,0,0,2,3,10,7,7,0.1875,0.14285714285714285,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
14,廖花花的猫,7,7,6,7,5,5,0,0,2,7,8,1,1,0.4375,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,微笑匪兵乙,6,7,4,6,4,4,0,0,2,2,3,1,1,0.125,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,营养师顾中一,5,6,7,5,5,5,0,0,2,1,12,11,11,0.0625,0.09090909090909091,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
17,肉包宝宝喵喵,5,3,7,5,3,4,0,1,1,5,-1,11,11,0.3125,0.0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
18,Dog丶Yar,3,5,4,4,5,4,0,0,0,-1,-1,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,悠悠紫云xy,5,6,5,5,4,2,0,0,0,-1,-1,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,抹笑江湖,3,4,5,4,3,5,0,0,2,12,15,3,3,0.75,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
21,雄峙天东_,5,7,7,6,1,1,0,0,0,-1,-1,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,鱼翔浅底_鹰击长空,5,4,7,4,5,3,0,0,0,-1,-1,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,忘记过去不愉快a,5,3,5,6,5,2,0,1,3,7,10,6,3,0.4375,0.3333333333333333,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
24,凤凰涅槃的新家,7,6,7,6,3,2,0,0,2,9,12,3,3,0.5625,0.3333333333333333,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
25,best云中漫步,5,5,4,7,4,5,0,1,3,9,10,3,2,0.5625,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
26,秦动之11,7,5,6,5,4,5,0,1,1,10,-1,6,6,0.625,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
27,张乾统_43623,5,5,5,5,5,1,0,0,4,4,5,3,2,0.25,1.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
28,上海成雨,7,7,7,5,3,4,0,0,2,11,12,1,1,0.6875,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,廖花花的猫,7,7,6,7,5,5,0,0,2,12,14,2,2,0.75,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
30,我还是不卑不亢,4,4,4,4,4,4,0,0,0,-1,-1,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,神灯斌,3,5,5,3,3,4,0,0,0,-1,-1,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,顾浩物理治疗师,6,7,6,5,5,5,0,0,2,7,8,1,1,0.4375,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,飞云流星_,7,6,3,6,5,5,0,1,3,5,8,7,4,0.3125,0.3333333333333333,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1
34,jrry86,6,7,5,3,4,4,0,0,0,-1,-1,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,离开头脑觉知当下,5,4,3,5,5,3,0,0,2,1,3,2,2,0.0625,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,北京高生,5,6,5,5,4,5,0,1,3,10,11,2,1,0.625,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
37,噗噗大蕾_LEIL,5,3,6,7,4,4,0,0,0,-1,-1,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,是李哈哈呦,4,3,3,5,3,3,0,1,1,8,-1,8,8,0.5,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
39,全丫头的妈咪,6,5,5,5,3,5,0,0,2,9,11,2,2,0.5625,0.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
40,老冷的夏天,6,6,5,7,5,4,0,0,2,3,9,6,6,0.1875,0.16666666666666666,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
41,赤壁小马,5,5,5,6,4,5,0,0,0,-1,-1,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,好人花花_38935,3,3,5,3,4,3,0,0,0,-1,-1,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,抬头不见_38985,4,5,3,5,3,2,0,0,0,-1,-1,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,五月-辰,5,5,5,7,3,4,0,0,2,8,15,7,7,0.5,0.14285714285714285,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
45,A--Rita,3,7,3,6,4,4,0,0,0,-1,-1,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,倩倩花已至,4,3,7,7,3,2,0,0,2,9,10,1,1,0.5625,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47,洛阳房产李阿亮,3,7,7,7,7,2,0,0,2,9,15,6,6,0.5625,0.16666666666666666,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
48,gumogumo,6,6,3,3,4,4,0,1,1,15,-1,1,1,0.9375,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,啸铁风,6,5,3,3,5,4,0,0,0,-1,-1,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,青青20131029,7,5,3,5,5,4,0,0,0,-1,-1,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,王汪汪鱼,4,4,5,5,4,3,0,0,2,12,15,3,3,0.75,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
52,OU_Kaka,3,4,4,3,5,4,0,0,2,8,12,4,4,0.5,0.25,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
53,青松yang317,7,5,3,5,3,4,0,1,3,1,4,12,9,0.0625,0.3333333333333333,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
54,李青大夫,6,6,7,7,4,5,0,1,3,6,8,4,2,0.375,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
55,成一虫,7,7,3,5,5,5,0,0,0,-1,-1,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,睿睿妈妈forever,3,6,4,7,3,3,0,0,0,-1,-1,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,宝儿妈-77,4,7,5,5,3,2,0,1,3,3,11,9,8,0.1875,0.125,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1
58,瑾棠棠,3,5,4,6,3,3,0,1,1,5,-1,11,11,0.3125,0.0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
59,翎雾梦雨连烟,5,5,3,3,5,2,0,0,0,-1,-1,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,儒释道久久艾文,6,7,5,7,1,4,1,0,1,-1,7,7,7,0.0,0.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
61,六庚为白兽,5,3,3,3,5,4,1,1,2,6,4,14,10,0.0,0.0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
62,六零后星辰,5,5,5,5,3,3,1,0,1,-1,10,10,10,0.0,0.0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
63,花间一壶酒,4,5,7,7,4,3,1,0,1,-1,3,3,3,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64,追光少年Leo,7,6,5,3,5,4,1,1,4,10,7,9,7,0.0,0.0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1
65,小溪流水叮咚,3,5,4,7,5,2,1,0,1,-1,7,7,7,0.0,0.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
66,面朝大海678,7,6,5,5,3,5,1,0,1,-1,9,9,9,0.0,0.0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
67,糖糖鱼乐,3,3,4,4,4,3,1,0,5,5,4,11,5,0.0,0.0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0
68,时光微尘,3,4,4,5,3,3,1,0,1,-1,4,4,4,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
69,木子青禾,7,4,3,7,3,4,1,0,1,-1,6,6,6,0.0,0.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
70,夏日漫步__s,3,3,3,5,4,2,1,1,2,11,8,13,8,0.0,0.0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
71,橙色光影,4,6,3,7,4,3,1,0,1,-1,9,9,9,0.0,0.0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
72,书海漫游者123,5,3,5,4,3,4,1,0,1,-1,2,2,2,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,一只懒毛兔rabb,3,5,4,4,4,3,1,0,5,5,1,4,2,0.0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
74,apple秋日私语,5,5,4,5,1,5,1,0,3,7,6,7,6,0.0,0.0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
75,凌寒岁末,4,4,4,5,5,2,1,0,1,-1,4,4,4,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
76,sda夏清甜fa,4,7,4,7,3,3,1,0,1,-1,14,14,14,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
77,南风知我意,6,3,4,6,5,4,1,1,4,5,4,10,4,0.0,0.0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1
78,山海之心,5,5,5,3,3,2,1,0,1,-1,8,8,8,0.0,0.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
79,夜色枫林,4,3,3,4,4,3,1,0,1,-1,1,1,1,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,沐雨听风,5,5,5,4,7,4,1,0,3,11,5,8,5,0.0,0.0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0
81,碎光星屑,4,4,5,3,4,2,1,0,1,-1,4,4,4,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
82,浅夏微凉sjd,4,5,7,5,5,3,1,1,0,-1,-1,16,16,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,玄月木林,5,7,3,5,3,4,1,0,1,-1,6,6,6,0.0,0.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
84,春江夜渡zcn,5,7,3,6,3,3,1,0,1,-1,1,1,1,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,慕云倾雪,4,3,4,4,3,2,1,0,3,4,2,6,4,0.0,0.0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
86,独孤行者,7,5,7,6,3,5,1,0,1,-1,1,1,1,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,水墨清心l;,5,4,4,3,3,4,1,0,5,6,3,10,4,0.0,0.0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0
88,夜莺轻唱,5,5,3,5,4,3,1,0,1,-1,3,3,3,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,子安书屋,3,5,3,4,3,2,1,0,1,-1,6,6,6,0.0,0.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
90,长河落日,5,5,3,5,3,3,1,1,2,10,8,14,8,0.0,0.0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
91,云端漫步85,7,3,3,5,5,4,1,0,1,-1,10,10,10,0.0,0.0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
92,听海漂流瓶,3,5,5,3,4,3,1,0,3,11,4,6,4,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
93,午夜狂想曲,5,4,4,3,6,4,1,0,3,6,2,8,6,0.0,0.0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0
94,海蓝见鲸,7,6,3,7,5,5,1,0,1,-1,4,4,4,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
95,森林寻影者,3,3,4,3,3,2,1,0,1,-1,4,4,4,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
96,悦诗收割机,3,3,5,5,3,3,1,1,6,4,1,8,5,0.0,0.0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
97,北望归鸿,4,4,4,6,4,4,1,0,1,-1,2,2,2,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,琴韵花开,4,4,4,5,3,3,1,0,1,-1,11,11,11,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
99,一朵小棉花,6,3,3,4,5,4,1,0,1,-1,12,12,12,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
