id,真实id,A,B,C,D,E,F,平均分
7,1,3.76,3.86,3.67,4.14,3.86,3.52,3.8
59,2,4.23,4,4.15,3.92,4.15,3.92,4.06
18,3,3.05,3.32,3.86,4.05,3.05,2.82,3.36
36,4,3.55,3.55,4.09,4.18,3.36,3.55,3.71
45,5,3.09,3,3.36,3.73,3.09,2.82,3.18
57,6,4.23,4.31,4.23,4.38,4.15,3.46,4.13
47,7,3.62,4.08,4,4.08,3.46,3.15,3.73
20,8,3.91,3.95,4.23,4.05,3.86,3.59,3.93
13,9,3.9,3.71,3.76,3.86,3.9,3.48,3.77
51,10,4.23,4.23,4.15,4,4.08,3.62,4.05
40,11,3.45,3.82,3.91,4.09,3.18,3.27,3.62
33,12,3,3.27,3.45,3.64,3.18,3,3.26
31,13,3.36,3.18,3.73,3.82,2.82,2.64,3.26
21,14,3.55,3.73,3.95,3.73,3.45,3.18,3.6
46,15,3.77,4.23,4.08,3.92,3.54,2.92,3.74
5,16,3.86,4.1,4.1,4.1,4.05,3.95,4.02
50,17,4.08,4.08,4.15,4.08,3.54,2.92,3.81
10,18,3.76,3.71,3.67,3.81,3.71,3.62,3.71
26,19,3.45,3.27,3.82,3.64,3.23,2.77,3.36
11,20,3.76,3.86,3.95,3.95,4,3.43,3.83
56,21,4.31,4.15,4.54,4.15,3.85,3.77,4.13
16,22,3.45,3.27,3.95,3.73,2.91,2.5,3.3
42,23,3.55,3.73,3.82,4.09,3.36,2.91,3.58
34,24,4,3.82,4.18,3.64,4.09,4.09,3.97
3,25,3.57,3.76,4.05,3.71,3.57,3.57,3.71
41,26,3.09,3.18,3.64,3.82,3.18,2.91,3.3
37,27,3.09,3.36,3.55,3.55,3.18,2.64,3.23
39,28,3.55,3.45,3.55,3.91,3.45,3.36,3.55
14,29,3.81,3.81,3.76,4,3.62,3.62,3.77
48,30,4.15,4.15,4,4.15,3.77,3.38,3.94
2,31,3.48,3.62,3.95,3.95,3.67,3.24,3.65
38,32,3.36,3,3.09,3.73,3.18,3,3.23
49,33,3.77,4.15,4.08,4.23,3.62,3.23,3.85
29,34,3.23,3,3.41,3.36,3.05,2.68,3.12
52,35,3.77,4.23,4.38,4.15,3.85,3.62,4
32,36,3.73,3.55,3.82,4,3.91,3.55,3.76
8,37,3.76,3.67,3.71,4.05,4.05,3.48,3.79
43,38,3.64,4,4,4.09,3.91,3.55,3.86
25,39,4.05,3.77,3.86,3.82,3.64,3.41,3.76
23,40,3.95,3.73,4,3.95,3.77,3.5,3.82
17,41,3.59,3.5,4,4.09,3.55,3.09,3.64
22,42,4.14,4.09,4.14,4.09,3.91,3.86,4.04
1,43,3.48,3.29,4.14,3.52,3.38,2.86,3.44
60,44,4,4.31,4.23,4.15,3.85,3.69,4.04
28,45,3.86,3.64,4,3.91,3.73,3.55,3.78
6,46,3.71,3.9,3.9,4.05,3.9,3.62,3.85
27,47,3.82,3.68,3.91,3.86,3.77,3.59,3.77
55,48,3.62,4,4.31,4.15,3.77,3.85,3.95
9,49,3.76,3.62,3.71,3.81,3.48,3.14,3.59
44,50,2.64,3.09,3.36,3.45,3.09,2.73,3.06
35,51,4.36,4.09,4.18,4,4,4,4.11
58,52,4.15,4.08,4.38,4.15,4,3.77,4.09
54,53,4.38,4.31,4.38,4.15,4.38,3.85,4.24
15,54,3.95,3.71,3.81,3.81,3.76,3.14,3.7
12,55,3.86,3.43,3.62,4.05,3.86,3.38,3.7
53,56,4.31,4.54,4.38,4.46,4,4.08,4.29
24,57,3.91,3.64,3.82,3.86,3.77,3.41,3.73
19,58,3.86,3.91,3.95,3.95,3.59,3.36,3.77
4,59,3.05,3.38,3.57,3.48,3.24,2.81,3.25
30,60,3.5,3.45,3.82,3.64,3.41,3.23,3.51